ano,mes,indice,variacao_mensal,variacao_trimestral,variacao_semestral,variacao_anual,variacao_doze_meses
1979,12,7.6183e-09,,,,,
1980,1,8.1223e-09,6.62,,,6.62,
1980,2,8.4973e-09,4.62,,,11.54,
1980,3,9.0104e-09,6.04,18.27,,18.27,
1980,4,9.4867e-09,5.29,16.8,,24.53,
1980,5,1.00277e-08,5.7,18.01,,31.63,
1980,6,1.05597e-08,5.31,17.19,38.61,38.61,
1980,7,1.11453e-08,5.55,17.48,37.22,46.3,
1980,8,1.16965e-08,4.95,16.64,37.65,53.53,
1980,9,1.21913e-08,4.23,15.45,35.3,60.03,
1980,10,1.33471e-08,9.48,19.76,40.69,75.2,
1980,11,1.42378e-08,6.67,21.73,41.98,86.89,
1980,12,1.51795e-08,6.61,24.51,43.75,99.25,99.25
1981,1,1.62174e-08,6.84,21.51,45.51,6.84,99.67
1981,2,1.72555e-08,6.4,21.19,47.53,13.68,103.07
1981,3,1.81134e-08,4.97,19.33,48.58,19.33,101.03
1981,4,1.92839e-08,6.46,18.91,44.48,27.04,103.27
1981,5,2.0356e-08,5.56,17.97,42.97,34.1,103
1981,6,2.14792e-08,5.52,18.58,41.5,41.5,103.41
1981,7,2.28229e-08,6.26,18.35,40.73,50.35,104.78
1981,8,2.40772e-08,5.5,18.28,39.53,58.62,105.85
1981,9,2.53429e-08,5.26,17.99,39.91,66.95,107.88
1981,10,2.66297e-08,5.08,16.68,38.09,75.43,99.52
1981,11,2.80335e-08,5.27,16.43,37.72,84.68,96.89
1981,12,2.96946e-08,5.93,17.17,38.25,95.62,95.62
1982,1,3.17628e-08,6.97,19.28,39.17,6.97,95.86
1982,2,3.38708e-08,6.64,20.82,40.68,14.06,96.29
1982,3,3.58057e-08,5.71,20.58,41.28,20.58,97.68
1982,4,3.79137e-08,5.89,19.37,42.37,27.68,96.61
1982,5,4.04382e-08,6.66,19.39,44.25,36.18,98.65
1982,6,4.33113e-08,7.1,20.96,45.86,45.86,101.64
1982,7,4.6065e-08,6.36,21.5,45.03,55.13,101.84
1982,8,4.88164e-08,5.97,20.72,44.13,64.39,102.75
1982,9,5.12964e-08,5.08,18.44,43.26,72.75,102.41
1982,10,5.35752e-08,4.44,16.3,41.31,80.42,101.19
1982,11,5.64085e-08,5.29,15.55,39.49,89.96,101.22
1982,12,6.08117e-08,7.81,18.55,40.41,104.79,104.79
1983,1,6.60665e-08,8.64,23.32,43.42,8.64,108
1983,2,7.12581e-08,7.86,26.33,45.97,17.18,110.38
1983,3,7.64919e-08,7.34,25.78,49.12,25.78,113.63
1983,4,8.15245e-08,6.58,23.4,52.17,34.06,115.03
1983,5,8.68097e-08,6.48,21.82,53.89,42.75,114.67
1983,6,9.53868e-08,9.88,24.7,56.86,56.86,120.24
1983,7,1.050003e-07,10.08,28.8,58.93,72.66,127.94
1983,8,1.145671e-07,9.11,31.97,60.78,88.4,134.69
1983,9,1.263682e-07,10.3,32.48,65.2,107.8,146.35
1983,10,1.375727e-07,8.87,31.02,68.75,126.23,156.78
1983,11,1.477314e-07,7.38,28.95,70.18,142.93,161.9
1983,12,1.605502e-07,8.68,27.05,68.31,164.01,164.01
1984,1,1.760737e-07,9.67,27.99,67.69,9.67,166.51
1984,2,1.92802e-07,9.5,30.51,68.29,20.09,170.57
1984,3,2.100357e-07,8.94,30.82,66.21,30.82,174.59
1984,4,2.300794e-07,9.54,30.67,67.24,43.31,182.22
1984,5,2.509021e-07,9.05,30.13,69.84,56.28,189.03
1984,6,2.761935e-07,10.08,31.5,72.03,72.03,189.55
1984,7,3.030524e-07,9.72,31.72,72.12,88.76,188.62
1984,8,3.313854e-07,9.35,32.08,71.88,106.41,189.25
1984,9,3.703168e-07,11.75,34.08,76.31,130.65,193.05
1984,10,4.089675e-07,10.44,34.95,77.75,154.73,197.27
1984,11,4.520168e-07,10.53,36.4,80.16,181.54,205.97
1984,12,5.061559e-07,11.98,36.68,83.26,215.26,215.26
1985,1,5.656761e-07,11.76,38.32,86.66,11.76,221.27
1985,2,6.271382e-07,10.87,38.74,89.25,23.9,225.28
1985,3,6.908698e-07,10.16,36.49,86.56,36.49,228.93
1985,4,7.474889e-07,8.2,32.14,82.77,47.68,224.88
