nº,data,viés,Período de vigência,Meta SELIC,TBAN,Taxa SELIC_%,Taxa SELIC_%_aa
245º,16/03/2022,,17/03/2022 -,"11,75",,,
244º,02/02/2022,,03/02/2022 - 16/03/2022,"10,75",,"1,13","10,65"
243º,08/12/2021,,09/12/2021 - 02/02/2022,"9,25",,"1,40","9,15"
242º,27/10/2021,,28/10/2021 - 08/12/2021,"7,75",,"0,82","7,65"
241º,22/09/2021,,23/09/2021 - 27/10/2021,"6,25",,"0,57","6,15"
240º,04/08/2021,,05/08/2021 - 22/09/2021,"5,25",,"0,68","5,15"
239º,16/06/2021,,17/06/2021 - 04/08/2021,"4,25",,"0,57","4,15"
238º,05/05/2021,,06/05/2021 - 16/06/2021,"3,50",,"0,39","3,40"
237º,17/03/2021,,18/03/2021 - 05/05/2021,"2,75",,"0,34","2,65"
236º,20/01/2021,,21/01/2021 - 17/03/2021,"2,00",,"0,28","1,90"
235º,09/12/2020,,10/12/2020 - 20/01/2021,"2,00",,"0,21","1,90"
234º,28/10/2020,,29/10/2020 - 09/12/2020,"2,00",,"0,22","1,90"
233º,16/09/2020,,17/09/2020 - 28/10/2020,"2,00",,"0,22","1,90"
232º,05/08/2020,,06/08/2020 - 16/09/2020,"2,00",,"0,22","1,90"
231º,17/06/2020,,18/06/2020 - 05/08/2020,"2,25",,"0,30","2,15"
230º,06/05/2020,,07/05/2020 - 17/06/2020,"3,00",,"0,32","2,90"
229º,18/03/2020,,19/03/2020 - 06/05/2020,"3,75",,"0,46","3,65"
228º,05/02/2020,,06/02/2020 - 18/03/2020,"4,25",,"0,45","4,15"
227º,11/12/2019,,12/12/2019 - 05/02/2020,"4,50",,"0,65","4,40"
226º,30/10/2019,,31/10/2019 - 11/12/2019,"5,00",,"0,55","4,90"
225º,18/09/2019,,19/09/2019 - 30/10/2019,"5,50",,"0,63","5,40"
224º,31/07/2019,,01/08/2019 - 18/09/2019,"6,00",,"0,80","5,90"
223º,19/06/2019,,21/06/2019 - 31/07/2019,"6,50",,"0,72","6,40"
222º,08/05/2019,,09/05/2019 - 20/06/2019,"6,50",,"0,74","6,40"
221º,20/03/2019,,21/03/2019 - 08/05/2019,"6,50",,"0,82","6,40"
220º,06/02/2019,,07/02/2019 - 20/03/2019,"6,50",,"0,69","6,40"
219º,12/12/2018,,13/12/2018 - 06/02/2019,"6,50",,"0,94","6,40"
218º,31/10/2018,,01/11/2018 - 12/12/2018,"6,50",,"0,69","6,40"
217º,19/09/2018,,20/09/2018 - 31/10/2018,"6,50",,"0,72","6,40"
216º,01/08/2018,,02/08/2018 - 19/09/2018,"6,50",,"0,84","6,40"
215º,20/06/2018,,21/06/2018 - 01/08/2018,"6,50",,"0,74","6,40"
